TOTAL_VARIABLES,ALTERNATIONS,EX_TIME_SECONDS,DENOT_IS_INCOMPLETE_RESULT,DENOT_TOT_ITERATIONS,DENOT_EX_TIME_SECONDS,DENOT_TOT_PATHS,DENOT_TOT_REACH_CALLS,DENOT_MAX_ITERATIONS,DENOT_RESULT,TOTAL_STATES,TOTAL_INIT_STATES,TOTAL_ACCEPTING_STATES,TOTAL_EDGES,TOTAL_PATCHES,MAX_PATCHES,NFA_MAX_REC_DEPTH,TOTAL_SCC,AUTOMATON_EX_TIME_SECONDS,TRANSLATION_OPT_LEVEL,TRANSLATION_EX_TIME_SECONDS,TRANSLATION_TOTAL_STATES,TRANSLATION_TOTAL_INIT_STATES,TRANSLATION_TOTAL_EDGES,TRANSLATION_TOTAL_SCC
4,9,.1933711,0,44,0.129145,2,76,100000,( { t = 0 & a >= 0 & b >= 0 & c - b + a >= 1 & c >= 0 & -c + b - a >= -23 & -c + b >= -17 & b - a >= -11 } { t = 0 & -c + b - a > -1 & a >= 0 & b >= 0 & c >= 0 & c - b + a >= -21 } ),46,4,2,86,46,1,93,37,0.012229,High,0.010795,24,1,68,13
4,10,.201950,0,48,0.132867,2,83,100000,( { t = 0 & -c + b - a >= 1 & a >= 0 & c >= 0 & c - b + a >= -21 } { t = 0 & a >= 0 & b >= 0 & c - b + a > -1 & c >= 0 & -c + b - a >= -19 & -c + b >= -14 & b - a >= -9 } ),50,4,2,94,50,1,101,40,0.012598,High,0.011116,26,1,74,14
5,1,.6092142,0,12,0.532422,2,20,100000,( { t = 0 & -d + c - b + a >= 1 & a >= 0 & b >= 0 & c >= 0 & d - c + b - a >= -49 & d - c + b >= -39 & d >= 0 & d + c + b - a >= -29 } { t = 0 & -5*d + 5*c + 5*b + 5*a >= -139 & -d + c - b + a >= -47 & a >= 0 & b >= 0 & c >= 0 & 5*c - 5*b + 5*a >= -139 & d - c + b - a > -1 & d >= 0 } ),14,4,2,22,14,1,29,13,0.004842,High,0.004153,8,1,20,5
5,2,1.4469645,0,16,1.365912,2,27,100000,( { t = 0 & -5*d + 5*c + 5*b + 5*a >= -139 & -d + c - b + a >= -47 & a >= 0 & b >= 0 & c >= 0 & 5*c - 5*b + 5*a >= -139 & d - c + b - a >= 1 & d >= 0 } { t = 0 & -d + c - b + a > -1 & a >= 0 & b >= 0 & c >= 0 & d - c + b - a >= -45 & d >= 0 & 5*d - 5*c + 5*b >= -179 & 5*d + 5*c + 5*b - 5*a >= -133 } ),18,4,2,30,18,1,37,16,0.005850,High,0.004982,10,1,26,6
5,3,1.9901209,0,20,1.915028,2,34,100000,( { t = 0 & -d + c - b + a >= 1 & a >= 0 & b >= 0 & c >= 0 & d - c + b - a >= -45 & d >= 0 & 5*d - 5*c + 5*b >= -179 & 5*d + 5*c + 5*b - 5*a >= -133 } { t = 0 & -5*d + 5*c + 5*b + 5*a >= -127 & -d + c - b + a >= -43 & a >= 0 & b >= 0 & c >= 0 & 5*c - 5*b + 5*a >= -127 & d - c + b - a > -1 & d >= 0 } ),22,4,2,38,22,1,45,19,0.006869,High,0.005898,12,1,32,7
5,4,2.6252017,0,24,2.522292,2,41,100000,( { t = 0 & -5*d + 5*c + 5*b + 5*a >= -127 & -d + c - b + a >= -43 & a >= 0 & b >= 0 & c >= 0 & 5*c - 5*b + 5*a >= -127 & d - c + b - a >= 1 & d >= 0 } { t = 0 & -d + c - b + a > -1 & a >= 0 & b >= 0 & c >= 0 & d - c + b - a >= -41 & d >= 0 & 5*d - 5*c + 5*b >= -163 & 5*d + 5*c + 5*b - 5*a >= -121 } ),26,4,2,46,26,1,53,22,0.007943,High,0.006786,14,1,38,8
5,5,3.1256313,0,28,3.052047,2,48,100000,( { t = 0 & -d + c - b + a >= 1 & a >= 0 & b >= 0 & c >= 0 & d - c + b - a >= -41 & d >= 0 & 5*d - 5*c + 5*b >= -163 & 5*d + 5*c + 5*b - 5*a >= -121 } { t = 0 & -d + c - b + a >= -39 & -d + c + b + a >= -23 & a >= 0 & b >= 0 & c - b + a >= -23 & c >= 0 & d - c + b - a > -1 & d >= 0 } ),30,4,2,54,30,1,61,25,0.009140,High,0.007846,16,1,44,9
5,6,3.7694278,0,32,3.689755,2,55,100000,( { t = 0 & -d + c - b + a >= -39 & -d + c + b + a >= -23 & a >= 0 & b >= 0 & c - b + a >= -23 & c >= 0 & d - c + b - a >= 1 & d >= 0 } { t = 0 & -d + c - b + a > -1 & a >= 0 & b >= 0 & c >= 0 & d - c + b - a >= -37 & d >= 0 & 5*d - 5*c + 5*b >= -147 & 5*d + 5*c + 5*b - 5*a >= -109 } ),34,4,2,62,34,1,69,28,0.010052,High,0.008558,18,1,50,10
5,7,4.3306914,0,36,4.225796,2,62,100000,( { t = 0 & -d + c - b + a >= 1 & a >= 0 & b >= 0 & c >= 0 & d - c + b - a >= -37 & d >= 0 & 5*d - 5*c + 5*b >= -147 & 5*d + 5*c + 5*b - 5*a >= -109 } { t = 0 & -5*d + 5*c + 5*b + 5*a >= -103 & -d + c - b + a >= -35 & a >= 0 & b >= 0 & c >= 0 & 5*c - 5*b + 5*a >= -103 & d - c + b - a > -1 & d >= 0 } ),38,4,2,70,38,1,77,31,0.010717,High,0.009124,20,1,56,11
5,8,4.9183750,0,40,4.849443,2,69,100000,( { t = 0 & -5*d + 5*c + 5*b + 5*a >= -103 & -d + c - b + a >= -35 & a >= 0 & b >= 0 & c >= 0 & 5*c - 5*b + 5*a >= -103 & d - c + b - a >= 1 & d >= 0 } { t = 0 & -d + c - b + a > -1 & a >= 0 & b >= 0 & c >= 0 & d - c + b - a >= -33 & d >= 0 & 5*d - 5*c + 5*b >= -131 & 5*d + 5*c + 5*b - 5*a >= -97 } ),42,4,2,78,42,1,85,34,0.011675,High,0.009895,22,1,62,12
