TOTAL_VARIABLES,ALTERNATIONS,EX_TIME_SECONDS,DENOT_IS_INCOMPLETE_RESULT,DENOT_TOT_ITERATIONS,DENOT_EX_TIME_SECONDS,DENOT_TOT_PATHS,DENOT_TOT_REDUNDANT_PATHS,DENOT_TOT_REACH_CALLS,DENOT_MAX_ITERATIONS,DENOT_RESULT,TOTAL_STATES,TOTAL_INIT_STATES,TOTAL_ACCEPTING_STATES,TOTAL_EDGES,TOTAL_PATCHES,MAX_PATCHES,NFA_MAX_REC_DEPTH,TOTAL_SCC,AUTOMATON_EX_TIME_SECONDS,TRANSLATION_OPT_LEVEL,TRANSLATION_EX_TIME_SECONDS,TRANSLATION_TOTAL_STATES,TRANSLATION_TOTAL_INIT_STATES,TRANSLATION_TOTAL_EDGES,TRANSLATION_TOTAL_SCC
3,251,4.5654546,0,2023,1.220496,4,0,3541,10000,( { t = 0 & -b + a >= 1 & b - a >= -255 & b >= 0 } { t = 0 & -b + a >= -253 & a >= 0 & b - a > -1 & b >= 0 } ),1016,4,2,2028,1016,1,2033,764,3.234253,High,3.212011,508,1,1773,255
3,252,4.5513034,0,2031,1.226105,4,0,3555,10000,( { t = 0 & -b + a >= -256 & a >= 0 & b - a >= 1 } { t = 0 & -b + a > -1 & a >= 0 & b - a >= -254 & b >= 0 } ),1020,4,2,2036,1020,1,2041,767,3.213876,High,3.191735,510,1,1780,256
3,253,4.7334357,0,2039,1.227202,4,0,3569,10000,( { t = 0 & -b + a >= 1 & b - a >= -257 & b >= 0 } { t = 0 & -b + a >= -255 & a >= 0 & b - a > -1 & b >= 0 } ),1024,4,2,2044,1024,1,2049,770,3.395594,High,3.373155,512,1,1787,257
3,254,82.2762876,1,10001,18.164566,3701,3689,10361,10000,( { t = 0 & -b + a > -1 & a >= 0 & b >= 0 & b - a >= -256 } { t = 0 & -b + a >= -258 & a >= 0 & b - a > -1 & b >= 0 } ),1028,4,2,2052,1538,2,3077,773,10.905875,High,10.872809,514,1,1794,258
3,255,78.7534586,1,10001,14.224034,3700,3687,10363,10000,( { t = 0 & -b + a > -1 & a >= 0 & b >= 0 & b - a >= -259 } { t = 0 & a >= 0 & b - a > -1 & b >= 0 & -b + a >= -257 } ),1032,4,2,2060,1544,2,3089,776,11.074633,High,11.042069,516,1,1801,259
3,256,82.1465191,1,10001,17.186450,3700,3685,10363,10000,( { t = 0 & -b + a > -1 & a >= 0 & b - a >= -258 & b >= 0 } { t = 0 & a >= 0 & b - a > -1 & b >= 0 & -b + a >= -260 } ),1036,4,2,2068,1550,2,3101,779,10.999107,High,10.968060,518,1,1808,260
3,257,79.8255562,1,10001,15.150799,3700,3686,10362,10000,( { t = 0 & -b + a > -1 & a >= 0 & b - a >= -261 & b >= 0 } { t = 0 & -b + a >= -259 & a >= 0 & b - a > -1 & b >= 0 } ),1040,4,2,2076,1556,2,3113,782,11.002709,High,10.969772,520,1,1815,261
3,258,83.8580549,1,10001,18.505702,3698,3686,10368,10000,( { t = 0 & -b + a > -1 & a >= 0 & b - a >= -260 & b >= 0 } { t = 0 & a >= 0 & b - a > -1 & b >= 0 & -b + a >= -262 } ),1044,4,2,2084,1562,2,3125,785,10.930948,High,10.897946,522,1,1822,262
3,259,80.5137763,1,10001,15.280793,3698,3687,10367,10000,( { t = 0 & -b + a > -1 & a >= 0 & b - a >= -263 & b >= 0 } { t = 0 & -b + a >= -261 & a >= 0 & b - a > -1 & b >= 0 } ),1048,4,2,2092,1568,2,3137,788,10.968062,High,10.935160,524,1,1829,263
3,260,86.2235866,1,10001,18.873083,3697,3685,10372,10000,( { t = 0 & -b + a > -1 & a >= 0 & b >= 0 & b - a >= -262 } { t = 0 & -b + a >= -264 & a >= 0 & b - a > -1 & b >= 0 } ),1052,4,2,2100,1574,2,3149,791,12.436039,High,12.402306,526,1,1836,264
