111|{232: 232, 237: 237, 236: 236, 10: 11, 233: 2, 2: 3, 0: 0, 11: 10, 242: 233, 3: 242}|( { t = 0 & -a + b >= -63 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a - b >= -61 & a >= 0 } )|245
411|{232: 232, 237: 242, 236: 3, 10: 11, 233: 233, 2: 0, 0: 2, 11: 10, 242: 237, 3: 236}|( { t = 0 & -a + b >= -63 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a - b >= -61 & a >= 0 } )|243
436|{232: 232, 237: 3, 236: 10, 10: 236, 233: 242, 2: 2, 0: 237, 11: 11, 242: 0, 3: 233}|( { t = 0 & -a + b >= -63 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a - b >= -61 & a >= 0 } )|245
458|{232: 0, 237: 3, 236: 236, 10: 237, 233: 11, 2: 242, 0: 232, 11: 233, 242: 2, 3: 10}|( { t = 0 & -a + b >= -63 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a - b >= -61 & a >= 0 } )|243
638|{232: 2, 237: 233, 236: 236, 10: 10, 233: 237, 2: 232, 0: 11, 11: 0, 242: 242, 3: 3}|( { t = 0 & -a + b >= -63 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a - b >= -61 & a >= 0 } )|243
650|{232: 232, 237: 3, 236: 236, 10: 11, 233: 233, 2: 0, 0: 2, 11: 10, 242: 237, 3: 242}|( { t = 0 & -a + b >= -63 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a - b >= -61 & a >= 0 } )|245
917|{232: 232, 237: 10, 236: 236, 10: 2, 233: 237, 2: 0, 0: 3, 11: 242, 242: 11, 3: 233}|( { t = 0 & -a + b >= -63 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a - b >= -61 & a >= 0 } )|496
921|{232: 237, 237: 232, 236: 2, 10: 3, 233: 10, 2: 236, 0: 0, 11: 11, 242: 233, 3: 242}|( { t = 0 & -a + b >= -63 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a - b >= -61 & a >= 0 } )|244
