permutation|permutationMap|result|denot total iterations
26|{232: 2, 237: 3, 236: 0, 10: 236, 233: 242, 2: 233, 0: 10, 11: 232, 242: 11, 3: 237}|( { t = 0 & -a + b >= -179 & b >= 0 & a - b >= 1 } )|11
27|{232: 232, 237: 233, 236: 3, 10: 236, 233: 2, 2: 237, 0: 0, 11: 11, 242: 242, 3: 10}|( { t = 0 & -a + b >= -179 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a - b > -181 & a >= 0 } )|495
28|{232: 11, 237: 10, 236: 0, 10: 242, 233: 233, 2: 2, 0: 232, 11: 237, 242: 236, 3: 3}|( { t = 0 & -a + b > -1 & b >= 0 & a - b >= -177 & a >= 0 } )|737
29|{232: 2, 237: 233, 236: 232, 10: 10, 233: 242, 2: 237, 0: 3, 11: 236, 242: 0, 3: 11}|( { t = 0 & -a + b > -1 & b >= 0 & a >= 0 & a - b >= -65 } { t = 0 & -a + b >= -179 & b >= 0 & a - b >= 1 } )|726
30|{232: 236, 237: 233, 236: 242, 10: 0, 233: 237, 2: 10, 0: 232, 11: 3, 242: 2, 3: 11}|( { t = 0 & -a + b >= -179 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a >= 0 & a - b >= -173 } )|244
31|{232: 2, 237: 0, 236: 11, 10: 3, 233: 242, 2: 10, 0: 232, 11: 237, 242: 236, 3: 233}|( { t = 0 & -a + b >= -179 & b >= 0 & a - b >= 1 } )|10
32|{232: 237, 237: 236, 236: 2, 10: 0, 233: 10, 2: 11, 0: 232, 11: 242, 242: 3, 3: 233}|( )|14
33|{232: 237, 237: 242, 236: 0, 10: 11, 233: 3, 2: 10, 0: 232, 11: 233, 242: 2, 3: 236}|( { t = 0 & -a + b > -1 & b >= 0 & a - b >= -177 & a >= 0 } )|594
34|{232: 3, 237: 233, 236: 236, 10: 237, 233: 10, 2: 242, 0: 232, 11: 11, 242: 0, 3: 2}|( { t = 0 & -a + b >= -179 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a - b >= -177 & a >= 0 } )|283
35|{232: 232, 237: 0, 236: 2, 10: 242, 233: 11, 2: 10, 0: 233, 11: 236, 242: 237, 3: 3}|( )|10
36|{232: 0, 237: 233, 236: 237, 10: 11, 233: 3, 2: 232, 0: 242, 11: 236, 242: 2, 3: 10}|( { t = 0 & -a + b >= -179 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a >= 0 } )|16
37|{232: 11, 237: 2, 236: 10, 10: 3, 233: 232, 2: 0, 0: 237, 11: 242, 242: 236, 3: 233}|( { t = 0 & -a + b > -1 & b >= 0 & a >= 0 } { t = 0 & a - b = 1 & a >= 1 } )|16
38|{232: 232, 237: 242, 236: 3, 10: 10, 233: 2, 2: 0, 0: 233, 11: 11, 242: 236, 3: 237}|( { t = 0 & -a + b >= -179 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a - b > -181 & a >= 0 } )|259
