permutation|permutationMap|result|denot total iterations
118|{232: 236, 237: 237, 236: 233, 10: 10, 233: 2, 2: 11, 0: 3, 11: 232, 242: 0, 3: 242}|( { t = 0 & -a + b > -1 & b >= 0 & a - b >= -177 & a >= 0 } )|494
119|{232: 11, 237: 3, 236: 236, 10: 237, 233: 0, 2: 242, 0: 10, 11: 2, 242: 232, 3: 233}|( { t = 0 & -a + b > -1 & b >= 0 & a >= 0 & a - b > -181 } )|779
120|{232: 2, 237: 242, 236: 236, 10: 232, 233: 0, 2: 11, 0: 237, 11: 10, 242: 233, 3: 3}|( { t = 0 & -a + b > -1 & b >= 0 & a >= 0 & a - b > -181 } )|831
121|{232: 236, 237: 242, 236: 0, 10: 11, 233: 10, 2: 232, 0: 233, 11: 3, 242: 237, 3: 2}|( { t = 0 & -a + b > -1 & b >= 0 & a - b >= -177 & a >= 0 } )|10
122|{232: 0, 237: 237, 236: 242, 10: 236, 233: 10, 2: 3, 0: 232, 11: 11, 242: 2, 3: 233}|( { t = 0 & -a + b >= -179 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a - b >= -177 & a >= 0 } )|253
123|{232: 3, 237: 11, 236: 0, 10: 232, 233: 2, 2: 233, 0: 242, 11: 237, 242: 10, 3: 236}|( { t = 0 & -a + b > -1 & b >= 0 & a >= 0 & a - b > -65 } )|245
124|{232: 11, 237: 233, 236: 236, 10: 237, 233: 232, 2: 242, 0: 3, 11: 10, 242: 2, 3: 0}|( { t = 0 & -a + b > -1 & b >= 0 & a >= 0 } { t = 0 & -a + b >= -179 & b >= 0 & a - b >= 1 } )|718
125|{232: 2, 237: 11, 236: 237, 10: 0, 233: 236, 2: 10, 0: 3, 11: 233, 242: 242, 3: 232}|( { t = 0 & -a + b >= -179 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a - b >= -177 & a >= 0 } )|479
126|{232: 242, 237: 10, 236: 236, 10: 233, 233: 11, 2: 232, 0: 2, 11: 3, 242: 237, 3: 0}|( { t = 0 & -a + b >= -179 & b >= 0 & a - b >= 1 } )|9
127|{232: 232, 237: 236, 236: 233, 10: 242, 233: 11, 2: 0, 0: 2, 11: 237, 242: 3, 3: 10}|( { t = 0 & -a + b > -1 & b >= 0 & a - b >= -177 & a >= 0 } { t = 0 & -a + b > -179 & b >= 0 & a - b >= 1 } )|476
128|{232: 0, 237: 233, 236: 232, 10: 10, 233: 2, 2: 242, 0: 236, 11: 11, 242: 237, 3: 3}|( { t = 0 & -a + b > -63 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a >= 0 } )|508
129|{232: 242, 237: 3, 236: 0, 10: 232, 233: 237, 2: 236, 0: 233, 11: 10, 242: 11, 3: 2}|( { t = 0 & -a + b >= -179 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a >= 0 & a - b > -181 } )|42
130|{232: 233, 237: 3, 236: 11, 10: 242, 233: 2, 2: 237, 0: 232, 11: 0, 242: 236, 3: 10}|( { t = 0 & -a + b > -1 & b >= 0 & a >= 0 & a - b > -181 } { t = 0 & -a + b > -179 & b >= 0 & a - b >= 1 } )|743
131|{232: 242, 237: 233, 236: 10, 10: 237, 233: 11, 2: 3, 0: 236, 11: 0, 242: 2, 3: 232}|( { t = 0 & -a + b > -179 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a >= 0 & a - b > -181 } )|1270
132|{232: 11, 237: 233, 236: 3, 10: 0, 233: 10, 2: 232, 0: 2, 11: 237, 242: 242, 3: 236}|( { t = 0 & -a + b >= -179 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a - b >= -177 & a >= 0 } )|487
133|{232: 233, 237: 10, 236: 2, 10: 236, 233: 11, 2: 232, 0: 237, 11: 3, 242: 242, 3: 0}|( { t = 0 & -a + b > -1 & b >= 0 & a - b > -177 & a >= 0 } { t = 0 & -a + b >= -179 & b >= 0 & a - b >= 1 } )|250
134|{232: 2, 237: 236, 236: 10, 10: 233, 233: 11, 2: 237, 0: 0, 11: 242, 242: 3, 3: 232}|( { t = 0 & -a + b > -1 & b >= 0 & a - b >= -177 & a >= 0 } )|476
135|{232: 242, 237: 10, 236: 2, 10: 3, 233: 232, 2: 236, 0: 11, 11: 233, 242: 0, 3: 237}|( { t = 0 & -a + b > -1 & b >= 0 & a - b > -177 & a >= 0 } )|30
136|{232: 11, 237: 242, 236: 232, 10: 3, 233: 237, 2: 233, 0: 236, 11: 2, 242: 0, 3: 10}|( { t = 0 & -a + b > -1 & b >= 0 & a >= 0 } { t = 0 & -a + b >= -179 & b >= 0 & a - b >= 1 } )|262
137|{232: 0, 237: 233, 236: 232, 10: 236, 233: 10, 2: 242, 0: 237, 11: 2, 242: 3, 3: 11}|( )|14
138|{232: 237, 237: 0, 236: 236, 10: 233, 233: 2, 2: 11, 0: 232, 11: 3, 242: 242, 3: 10}|( { t = 0 & -a + b > -71 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a - b > -69 & a >= 0 } )|736
139|{232: 237, 237: 3, 236: 0, 10: 236, 233: 232, 2: 2, 0: 10, 11: 11, 242: 242, 3: 233}|( { t = 0 & -a + b >= -179 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a - b >= -65 & a >= 0 } )|253
140|{232: 242, 237: 233, 236: 11, 10: 0, 233: 2, 2: 236, 0: 3, 11: 10, 242: 237, 3: 232}|( { t = 0 & -a + b > -1 & b >= 0 & a >= 0 & a - b >= -65 } { t = 0 & -a + b >= -179 & b >= 0 & a - b >= 1 } )|249
141|{232: 10, 237: 242, 236: 236, 10: 11, 233: 3, 2: 2, 0: 233, 11: 237, 242: 232, 3: 0}|( )|10
142|{232: 3, 237: 2, 236: 10, 10: 233, 233: 236, 2: 0, 0: 232, 11: 242, 242: 237, 3: 11}|( { t = 0 & -a + b > -179 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a >= 0 } )|508
143|{232: 11, 237: 0, 236: 236, 10: 2, 233: 232, 2: 242, 0: 10, 11: 233, 242: 3, 3: 237}|( { t = 0 & -a + b > -1 & b >= 0 & a - b > -177 & a >= 0 } )|1430
144|{232: 11, 237: 232, 236: 237, 10: 0, 233: 10, 2: 3, 0: 2, 11: 242, 242: 233, 3: 236}|( { t = 0 & -a + b > -1 & b >= 0 & a - b >= -177 & a >= 0 } { t = 0 & -a + b >= -179 & b >= 0 & a - b >= 1 } )|489
145|{232: 2, 237: 233, 236: 242, 10: 11, 233: 232, 2: 10, 0: 237, 11: 0, 242: 236, 3: 3}|( { t = 0 & -a + b > -1 & b >= 0 & a >= 0 } { t = 0 & -a + b > -179 & b >= 0 & a - b >= 1 } )|486
146|{232: 232, 237: 233, 236: 236, 10: 237, 233: 2, 2: 11, 0: 3, 11: 242, 242: 10, 3: 0}|( { t = 0 & -a + b >= -179 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a - b >= -177 & a >= 0 } )|818
147|{232: 242, 237: 233, 236: 11, 10: 232, 233: 236, 2: 3, 0: 10, 11: 2, 242: 237, 3: 0}|( { t = 0 & -a + b >= -179 & b >= 0 & a - b >= 1 } )|10
148|{232: 3, 237: 2, 236: 236, 10: 242, 233: 10, 2: 0, 0: 233, 11: 237, 242: 232, 3: 11}|( { t = 0 & -a + b > -1 & b >= 0 & a - b >= -177 & a >= 0 } { t = 0 & -a + b >= -179 & b >= 0 & a - b >= 1 } )|250
149|{232: 11, 237: 236, 236: 242, 10: 232, 233: 233, 2: 10, 0: 3, 11: 2, 242: 0, 3: 237}|( { t = 0 & -a + b > -1 & b >= 0 & a >= 0 & a - b > -181 } { t = 0 & -a + b > -179 & b >= 0 & a - b >= 1 } )|773
150|{232: 233, 237: 237, 236: 2, 10: 232, 233: 11, 2: 10, 0: 3, 11: 236, 242: 242, 3: 0}|( { t = 0 & -a + b > -1 & b >= 0 & a - b > -177 & a >= 0 } { t = 0 & -a + b >= -179 & b >= 0 & a - b >= 1 } )|727
151|{232: 232, 237: 0, 236: 3, 10: 2, 233: 11, 2: 10, 0: 237, 11: 236, 242: 242, 3: 233}|( )|12
152|{232: 10, 237: 0, 236: 232, 10: 11, 233: 3, 2: 237, 0: 2, 11: 236, 242: 233, 3: 242}|( { t = 0 & -a + b >= -179 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a >= 0 & a - b > -181 } )|524
153|{232: 10, 237: 237, 236: 2, 10: 3, 233: 0, 2: 236, 0: 242, 11: 233, 242: 232, 3: 11}|( { t = 0 & -a + b > -1 & b >= 0 & a - b > -61 & a >= 0 } { t = 0 & -a + b >= -179 & b >= 0 & a - b >= 1 } )|246
154|{232: 3, 237: 2, 236: 11, 10: 242, 233: 232, 2: 233, 0: 0, 11: 237, 242: 236, 3: 10}|( { t = 0 & -a + b > -179 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a >= 0 & a - b > -181 } )|50
155|{232: 233, 237: 2, 236: 11, 10: 0, 233: 237, 2: 3, 0: 232, 11: 242, 242: 10, 3: 236}|( { t = 0 & -a + b > -1 & b >= 0 & a - b >= -177 & a >= 0 } )|503
156|{232: 0, 237: 11, 236: 3, 10: 233, 233: 232, 2: 242, 0: 236, 11: 10, 242: 237, 3: 2}|( { t = 0 & -a + b >= -179 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a >= 0 } )|506
157|{232: 237, 237: 0, 236: 236, 10: 10, 233: 233, 2: 3, 0: 232, 11: 2, 242: 242, 3: 11}|( { t = 0 & b >= 0 & a - b >= 1 & -a + b >= -67 } { t = 0 & -a + b > -1 & b >= 0 & a - b >= -65 & a >= 0 } )|486
158|{232: 233, 237: 242, 236: 3, 10: 0, 233: 11, 2: 2, 0: 232, 11: 236, 242: 10, 3: 237}|( )|12
159|{232: 232, 237: 237, 236: 236, 10: 10, 233: 3, 2: 0, 0: 11, 11: 233, 242: 2, 3: 242}|( { t = 0 & -a + b > -1 & b >= 0 & a - b >= -61 & a >= 0 } )|488
160|{232: 3, 237: 236, 236: 10, 10: 2, 233: 233, 2: 11, 0: 242, 11: 237, 242: 232, 3: 0}|( { t = 0 & -a + b > -71 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a >= 0 } )|730
161|{232: 0, 237: 3, 236: 11, 10: 237, 233: 10, 2: 232, 0: 242, 11: 236, 242: 2, 3: 233}|( { t = 0 & -a + b >= -179 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a - b >= -65 & a >= 0 } )|251
162|{232: 11, 237: 10, 236: 232, 10: 236, 233: 237, 2: 233, 0: 3, 11: 0, 242: 2, 3: 242}|( { t = 0 & -a + b > -1 & b >= 0 & a >= 0 } )|20
163|{232: 0, 237: 3, 236: 2, 10: 236, 233: 242, 2: 11, 0: 232, 11: 237, 242: 233, 3: 10}|( { t = 0 & -a + b > -67 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a >= 0 } )|731
164|{232: 237, 237: 2, 236: 232, 10: 233, 233: 10, 2: 236, 0: 0, 11: 11, 242: 242, 3: 3}|( { t = 0 & -a + b > -179 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a >= 0 & a - b > -181 } )|266
165|{232: 242, 237: 10, 236: 0, 10: 236, 233: 11, 2: 233, 0: 2, 11: 237, 242: 3, 3: 232}|( { t = 0 & a - b = 1 & a >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a - b > -69 & a >= 0 } )|706
166|{232: 237, 237: 242, 236: 232, 10: 236, 233: 11, 2: 233, 0: 10, 11: 3, 242: 2, 3: 0}|( { t = 0 & -a + b > -1 & b >= 0 & a >= 0 & a - b > -177 } { t = 0 & -a + b >= -179 & b >= 0 & a - b >= 1 } )|253
167|{232: 2, 237: 242, 236: 3, 10: 0, 233: 10, 2: 233, 0: 236, 11: 11, 242: 237, 3: 232}|( { t = 0 & -a + b > -71 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a - b >= -177 & a >= 0 } )|766
168|{232: 10, 237: 11, 236: 236, 10: 233, 233: 0, 2: 232, 0: 3, 11: 237, 242: 2, 3: 242}|( { t = 0 & -a + b > -1 & b >= 0 & a - b > -69 & a >= 0 } { t = 0 & a - b = 1 & a >= 1 } )|777
169|{232: 0, 237: 232, 236: 237, 10: 10, 233: 2, 2: 242, 0: 11, 11: 236, 242: 233, 3: 3}|( { t = 0 & -a + b >= -179 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a >= 0 } )|27
170|{232: 236, 237: 3, 236: 237, 10: 11, 233: 10, 2: 0, 0: 2, 11: 233, 242: 232, 3: 242}|( { t = 0 & -a + b >= -179 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a - b > -69 & a >= 0 } )|750
171|{232: 11, 237: 0, 236: 3, 10: 242, 233: 10, 2: 233, 0: 237, 11: 232, 242: 2, 3: 236}|( { t = 0 & -a + b > -67 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a - b > -65 & a >= 0 } )|740
172|{232: 232, 237: 237, 236: 11, 10: 233, 233: 10, 2: 0, 0: 242, 11: 3, 242: 2, 3: 236}|( { t = 0 & -a + b > -1 & b >= 0 & a - b >= -177 & a >= 0 } )|12
173|{232: 236, 237: 237, 236: 2, 10: 3, 233: 11, 2: 233, 0: 0, 11: 232, 242: 10, 3: 242}|( { t = 0 & -a + b > -63 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a - b >= -177 & a >= 0 } )|248
174|{232: 2, 237: 237, 236: 3, 10: 0, 233: 242, 2: 233, 0: 232, 11: 11, 242: 10, 3: 236}|( { t = 0 & -a + b > -1 & b >= 0 & a >= 0 & a - b >= -173 } )|268
175|{232: 11, 237: 0, 236: 237, 10: 233, 233: 236, 2: 242, 0: 2, 11: 3, 242: 232, 3: 10}|( { t = 0 & -a + b > -1 & b >= 0 & a >= 0 & a - b > -181 } { t = 0 & -a + b > -179 & b >= 0 & a - b >= 1 } )|1024
176|{232: 10, 237: 236, 236: 0, 10: 233, 233: 232, 2: 242, 0: 11, 11: 3, 242: 237, 3: 2}|( { t = 0 & a - b = 1 & a >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a >= 0 } )|14
177|{232: 0, 237: 11, 236: 10, 10: 2, 233: 236, 2: 3, 0: 232, 11: 233, 242: 242, 3: 237}|( { t = 0 & -a + b > -1 & b >= 0 & a >= 0 } { t = 0 & -a + b >= -179 & b >= 0 & a - b >= 1 } )|1444
178|{232: 236, 237: 11, 236: 242, 10: 3, 233: 237, 2: 232, 0: 0, 11: 233, 242: 2, 3: 10}|( { t = 0 & -a + b > -1 & b >= 0 & a >= 0 } { t = 0 & -a + b >= -179 & b >= 0 & a - b >= 1 } )|1440
179|{232: 10, 237: 233, 236: 11, 10: 0, 233: 237, 2: 242, 0: 3, 11: 2, 242: 232, 3: 236}|( { t = 0 & -a + b > -1 & b >= 0 & a - b > -177 & a >= 0 } )|41
180|{232: 233, 237: 242, 236: 232, 10: 236, 233: 237, 2: 11, 0: 2, 11: 10, 242: 0, 3: 3}|( { t = 0 & -a + b > -179 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a - b >= -177 & a >= 0 } )|492
181|{232: 3, 237: 0, 236: 11, 10: 2, 233: 10, 2: 237, 0: 236, 11: 242, 242: 233, 3: 232}|( { t = 0 & -a + b >= -179 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a - b >= -177 & a >= 0 } )|249
182|{232: 11, 237: 3, 236: 237, 10: 242, 233: 0, 2: 233, 0: 236, 11: 10, 242: 232, 3: 2}|( { t = 0 & -a + b >= -179 & b >= 0 & a - b >= 1 } )|9
183|{232: 10, 237: 232, 236: 11, 10: 237, 233: 236, 2: 233, 0: 3, 11: 0, 242: 2, 3: 242}|( { t = 0 & -a + b > -1 & b >= 0 & a - b >= -177 & a >= 0 } { t = 0 & b >= 0 & a - b >= 1 & -a + b >= -175 } )|486
184|{232: 10, 237: 3, 236: 233, 10: 11, 233: 237, 2: 236, 0: 2, 11: 0, 242: 232, 3: 242}|( { t = 0 & -a + b > -1 & b >= 0 & a - b > -181 & a >= 0 } { t = 0 & -a + b >= -179 & b >= 0 & a - b >= 1 } )|22
185|{232: 232, 237: 242, 236: 233, 10: 236, 233: 0, 2: 10, 0: 3, 11: 2, 242: 237, 3: 11}|( { t = 0 & -a + b > -1 & b >= 0 & a - b >= -177 & a >= 0 } { t = 0 & -a + b >= -179 & b >= 0 & a - b >= 1 } )|507
186|{232: 242, 237: 0, 236: 3, 10: 236, 233: 233, 2: 237, 0: 11, 11: 2, 242: 232, 3: 10}|( { t = 0 & -a + b >= -179 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a >= 0 } )|493
187|{232: 10, 237: 0, 236: 11, 10: 233, 233: 232, 2: 236, 0: 237, 11: 3, 242: 242, 3: 2}|( { t = 0 & b >= 0 & a - b >= 1 & -a + b >= -175 } )|255
188|{232: 233, 237: 2, 236: 232, 10: 237, 233: 0, 2: 11, 0: 3, 11: 236, 242: 242, 3: 10}|( { t = 0 & -a + b > -71 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a - b >= -177 & a >= 0 } )|1464
189|{232: 11, 237: 242, 236: 2, 10: 10, 233: 0, 2: 233, 0: 237, 11: 3, 242: 236, 3: 232}|( { t = 0 & -a + b > -1 & b >= 0 & a >= 0 & a - b > -181 } { t = 0 & -a + b >= -179 & b >= 0 & a - b >= 1 } )|33
190|{232: 2, 237: 11, 236: 236, 10: 232, 233: 242, 2: 3, 0: 0, 11: 10, 242: 237, 3: 233}|( { t = 0 & -a + b > -1 & b >= 0 & a >= 0 & a - b > -181 } { t = 0 & -a + b >= -179 & b >= 0 & a - b >= 1 } )|1448
191|{232: 242, 237: 232, 236: 233, 10: 3, 233: 10, 2: 0, 0: 237, 11: 11, 242: 236, 3: 2}|( { t = 0 & -a + b > -1 & b >= 0 & a >= 0 } )|264
192|{232: 0, 237: 232, 236: 242, 10: 2, 233: 3, 2: 233, 0: 236, 11: 11, 242: 237, 3: 10}|( { t = 0 & -a + b > -179 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a - b >= -177 & a >= 0 } )|516
193|{232: 232, 237: 2, 236: 0, 10: 242, 233: 233, 2: 3, 0: 237, 11: 11, 242: 10, 3: 236}|( { t = 0 & -a + b > -1 & b >= 0 & a - b >= -177 & a >= 0 } )|250
194|{232: 3, 237: 237, 236: 236, 10: 233, 233: 242, 2: 2, 0: 232, 11: 10, 242: 0, 3: 11}|( { t = 0 & -a + b >= -179 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a - b >= -177 & a >= 0 } )|16
195|{232: 237, 237: 3, 236: 242, 10: 232, 233: 10, 2: 236, 0: 0, 11: 2, 242: 11, 3: 233}|( { t = 0 & -a + b > -1 & b >= 0 & a - b >= -177 & a >= 0 } { t = 0 & -a + b > -179 & b >= 0 & a - b >= 1 } )|478
196|{232: 236, 237: 2, 236: 237, 10: 232, 233: 3, 2: 233, 0: 10, 11: 11, 242: 242, 3: 0}|( { t = 0 & -a + b > -1 & b >= 0 & a - b > -177 & a >= 0 } { t = 0 & -a + b > -179 & b >= 0 & a - b >= 1 } )|556
197|{232: 3, 237: 0, 236: 237, 10: 11, 233: 2, 2: 233, 0: 10, 11: 236, 242: 242, 3: 232}|( { t = 0 & -a + b > -1 & b >= 0 & a >= 0 } { t = 0 & -a + b > -67 & b >= 0 & a - b >= 1 } )|717
198|{232: 3, 237: 10, 236: 242, 10: 233, 233: 236, 2: 11, 0: 232, 11: 0, 242: 237, 3: 2}|( { t = 0 & -a + b > -1 & b >= 0 & a >= 0 & a - b > -181 } { t = 0 & -a + b >= -179 & b >= 0 & a - b >= 1 } )|30
199|{232: 10, 237: 232, 236: 2, 10: 0, 233: 11, 2: 237, 0: 233, 11: 236, 242: 242, 3: 3}|( { t = 0 & -a + b > -1 & b >= 0 & a >= 0 & a - b > -181 } { t = 0 & -a + b > -71 & b >= 0 & a - b >= 1 } )|2128
200|{232: 2, 237: 237, 236: 233, 10: 3, 233: 236, 2: 10, 0: 11, 11: 242, 242: 232, 3: 0}|( { t = 0 & -a + b > -1 & b >= 0 & a - b > -177 & a >= 0 } )|38
201|{232: 233, 237: 232, 236: 11, 10: 2, 233: 237, 2: 242, 0: 0, 11: 236, 242: 3, 3: 10}|( { t = 0 & -a + b > -1 & b >= 0 & a >= 0 & a - b >= -65 } { t = 0 & -a + b > -67 & b >= 0 & a - b >= 1 } )|512
202|{232: 0, 237: 3, 236: 242, 10: 232, 233: 10, 2: 237, 0: 2, 11: 11, 242: 236, 3: 233}|( { t = 0 & b >= 0 & a - b >= 1 & -a + b >= -67 } { t = 0 & -a + b > -1 & b >= 0 & a - b >= -65 & a >= 0 } )|532
203|{232: 242, 237: 0, 236: 2, 10: 10, 233: 232, 2: 237, 0: 233, 11: 11, 242: 3, 3: 236}|( { t = 0 & -a + b >= -179 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a - b >= -65 & a >= 0 } )|263
204|{232: 232, 237: 10, 236: 236, 10: 237, 233: 0, 2: 3, 0: 242, 11: 11, 242: 2, 3: 233}|( { t = 0 & -a + b > -1 & b >= 0 & a - b >= -177 & a >= 0 } )|255
205|{232: 3, 237: 10, 236: 0, 10: 11, 233: 2, 2: 233, 0: 232, 11: 242, 242: 236, 3: 237}|( { t = 0 & -a + b > -1 & b >= 0 & a - b >= -177 & a >= 0 } )|247
206|{232: 3, 237: 236, 236: 242, 10: 2, 233: 10, 2: 11, 0: 232, 11: 0, 242: 233, 3: 237}|( { t = 0 & -a + b > -1 & b >= 0 & a - b > -65 & a >= 0 } { t = 0 & -a + b >= -179 & b >= 0 & a - b >= 1 } )|496
207|{232: 3, 237: 10, 236: 2, 10: 0, 233: 242, 2: 236, 0: 232, 11: 233, 242: 237, 3: 11}|( )|10
208|{232: 0, 237: 2, 236: 242, 10: 237, 233: 232, 2: 236, 0: 233, 11: 3, 242: 10, 3: 11}|( { t = 0 & b >= 0 & a - b >= 1 & -a + b >= -67 } { t = 0 & -a + b > -1 & b >= 0 & a >= 0 & a - b > -65 } )|267
209|{232: 236, 237: 10, 236: 233, 10: 3, 233: 0, 2: 11, 0: 242, 11: 2, 242: 232, 3: 237}|( { t = 0 & b >= 0 & a - b >= 1 & -a + b >= -67 } { t = 0 & -a + b > -1 & b >= 0 & a - b >= -177 & a >= 0 } )|258
210|{232: 10, 237: 236, 236: 0, 10: 237, 233: 3, 2: 2, 0: 11, 11: 242, 242: 232, 3: 233}|( { t = 0 & -a + b > -1 & b >= 0 & a - b > -177 & a >= 0 } { t = 0 & -a + b > -179 & b >= 0 & a - b >= 1 } )|496
211|{232: 242, 237: 0, 236: 236, 10: 2, 233: 11, 2: 10, 0: 3, 11: 232, 242: 237, 3: 233}|( )|10
212|{232: 10, 237: 2, 236: 0, 10: 236, 233: 233, 2: 242, 0: 11, 11: 232, 242: 237, 3: 3}|( { t = 0 & a - b = 1 & a >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a >= 0 } )|745
213|{232: 233, 237: 11, 236: 237, 10: 236, 233: 242, 2: 2, 0: 232, 11: 0, 242: 3, 3: 10}|( { t = 0 & -a + b > -179 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a - b > -177 & a >= 0 } )|494
214|{232: 236, 237: 232, 236: 233, 10: 2, 233: 10, 2: 3, 0: 0, 11: 237, 242: 11, 3: 242}|( { t = 0 & -a + b > -179 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a - b > -69 & a >= 0 } )|755
215|{232: 11, 237: 3, 236: 236, 10: 0, 233: 242, 2: 232, 0: 233, 11: 10, 242: 2, 3: 237}|( { t = 0 & -a + b > -1 & b >= 0 & a - b > -177 & a >= 0 } { t = 0 & -a + b >= -179 & b >= 0 & a - b >= 1 } )|248
216|{232: 10, 237: 242, 236: 0, 10: 3, 233: 232, 2: 233, 0: 236, 11: 237, 242: 11, 3: 2}|( { t = 0 & -a + b > -179 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a - b > -177 & a >= 0 } )|1439
217|{232: 0, 237: 2, 236: 232, 10: 242, 233: 233, 2: 236, 0: 237, 11: 3, 242: 11, 3: 10}|( { t = 0 & -a + b > -1 & b >= 0 & a - b > -177 & a >= 0 } { t = 0 & -a + b > -179 & b >= 0 & a - b >= 1 } )|1186
218|{232: 242, 237: 233, 236: 2, 10: 10, 233: 237, 2: 3, 0: 11, 11: 232, 242: 236, 3: 0}|( { t = 0 & -a + b >= -179 & b >= 0 & a - b >= 1 } )|9
219|{232: 0, 237: 11, 236: 232, 10: 242, 233: 3, 2: 233, 0: 237, 11: 10, 242: 2, 3: 236}|( )|14
220|{232: 11, 237: 236, 236: 237, 10: 0, 233: 242, 2: 3, 0: 2, 11: 10, 242: 233, 3: 232}|( { t = 0 & -a + b > -1 & b >= 0 & a - b > -177 & a >= 0 } { t = 0 & -a + b >= -179 & b >= 0 & a - b >= 1 } )|26
221|{232: 236, 237: 0, 236: 237, 10: 232, 233: 11, 2: 233, 0: 3, 11: 10, 242: 242, 3: 2}|( { t = 0 & -a + b > -1 & b >= 0 & a - b > -177 & a >= 0 } { t = 0 & -a + b > -179 & b >= 0 & a - b >= 1 } )|1208
222|{232: 11, 237: 232, 236: 3, 10: 236, 233: 0, 2: 233, 0: 10, 11: 237, 242: 242, 3: 2}|( { t = 0 & -a + b > -1 & b >= 0 & a - b > -177 & a >= 0 } { t = 0 & -a + b >= -179 & b >= 0 & a - b >= 1 } )|956
223|{232: 11, 237: 2, 236: 236, 10: 237, 233: 3, 2: 233, 0: 232, 11: 10, 242: 0, 3: 242}|( { t = 0 & -a + b > -1 & b >= 0 & a >= 0 } )|1460
224|{232: 2, 237: 10, 236: 236, 10: 237, 233: 0, 2: 232, 0: 3, 11: 242, 242: 233, 3: 11}|( { t = 0 & -a + b > -1 & b >= 0 & a - b >= -177 & a >= 0 } )|244
225|{232: 0, 237: 10, 236: 236, 10: 3, 233: 2, 2: 232, 0: 11, 11: 242, 242: 233, 3: 237}|( { t = 0 & -a + b >= -179 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a - b >= -177 & a >= 0 } )|15
226|{232: 3, 237: 0, 236: 2, 10: 11, 233: 237, 2: 233, 0: 10, 11: 232, 242: 236, 3: 242}|( { t = 0 & -a + b > -179 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a >= 0 } )|725
227|{232: 232, 237: 242, 236: 2, 10: 10, 233: 233, 2: 0, 0: 236, 11: 237, 242: 11, 3: 3}|( { t = 0 & -a + b > -1 & b >= 0 & a - b >= -177 & a >= 0 } { t = 0 & -a + b > -63 & b >= 0 & a - b >= 1 } )|247
228|{232: 232, 237: 11, 236: 242, 10: 2, 233: 0, 2: 10, 0: 236, 11: 237, 242: 233, 3: 3}|( { t = 0 & -a + b > -1 & b >= 0 & a - b >= -61 & a >= 0 } )|246
229|{232: 10, 237: 237, 236: 3, 10: 233, 233: 2, 2: 11, 0: 232, 11: 236, 242: 242, 3: 0}|( { t = 0 & -a + b > -1 & b >= 0 & a - b >= -177 & a >= 0 } )|16
